Date,Close,balance,trade,stock_value,whole_value
0,176.022721,6375.006943,TRUE,193624.9931,200000
1,179.8545011,6375.006943,,197839.9513,204214.9582
2,178.3804935,6375.006943,,196218.5429,202593.5498
3,174.1507563,6375.006943,,191565.8319,197940.8388
4,171.3668634,6375.006943,,188503.5498,194878.5567
5,170.6464509,184184.6524,TRUE,0,184184.6524
6,170.7240913,184184.6524,,0,184184.6524
7,173.2908717,184184.6524,,0,184184.6524
8,174.1248699,184184.6524,,0,184184.6524
9,171.281923,184184.6524,,0,184184.6524
10,171.7752008,174736.0401,,0,174736.0401
11,168.9402071,174736.0401,,0,174736.0401
12,165.4087025,174736.0401,,0,174736.0401
13,163.8393752,174736.0401,,0,174736.0401
14,161.508721,174736.0401,,0,174736.0401
15,160.6647261,91320.10587,FALSE,96398.83566,187718.9415
16,159.1075465,91320.10587,,95464.52792,186784.6338
17,158.713275,91320.10587,,95227.96502,186548.0709
18,158.3739129,91320.10587,,95024.34775,186344.4536
19,167.6106918,91320.10587,,100566.4151,191886.5209
20,172.6644582,128406.4347,TRUE,34532.89164,162939.3263
21,173.3518364,128406.4347,,34670.36727,163076.8019
22,175.0489623,128406.4347,,35009.79246,163416.2271
23,171.5937099,128406.4347,,34318.74199,162725.1766
24,171.0136357,128406.4347,,34202.72715,162609.1618
25,170.5454067,165213.3197,TRUE,0,165213.3197
26,172.8435141,165213.3197,,0,165213.3197
27,174.6897021,165213.3197,,0,165213.3197
28,171.2968286,165213.3197,,0,165213.3197
29,168.0807988,165213.3197,,0,165213.3197
30,167.6627228,159857.4921,FALSE,33532.54457,193390.0367
31,170.6758637,159857.4921,,34135.17275,193992.6648
32,171.1705695,159857.4921,,34234.1139,194091.606
33,168.2301048,159857.4921,,33646.02097,193503.5131
34,166.542695,159857.4921,,33308.539,193166.0311
35,163.539239,136659.849,FALSE,49061.77171,185721.6207
36,159.5347412,136659.849,,47860.42236,184520.2713
37,161.4267476,136659.849,,48428.02427,185087.8732
38,163.3670155,136659.849,,49010.10466,185669.9536
39,163.8122129,136659.849,,49143.66386,185803.5128
