Date,Close,balance,trade,stock_value,whole_value
0,166.8836159,16428.02249,TRUE,183571.9775,200000
1,170.1626368,16428.02249,,187178.9005,203606.923
2,167.617205,16428.02249,,184378.9255,200806.948
3,163.8450545,16428.02249,,180229.56,196657.5825
4,163.918629,16428.02249,,180310.4919,196738.5144
5,162.8779979,190535.8473,TRUE,0,190535.8473
6,161.6408141,190535.8473,,0,190535.8473
7,165.4088144,190535.8473,,0,190535.8473
8,165.2633129,190535.8473,,0,190535.8473
9,160.8209288,190535.8473,,0,190535.8473
10,162.45917,193171.6305,,0,193171.6305
11,159.5969653,193171.6305,,0,193171.6305
12,156.3642361,193171.6305,,0,193171.6305
13,152.8090997,193171.6305,,0,193171.6305
14,143.8447598,193171.6305,,0,193171.6305
15,146.0215103,107389.9335,FALSE,102215.0572,209604.9907
16,141.9578394,107389.9335,,99370.48755,206760.421
17,139.3019376,107389.9335,,97511.35632,204901.2898
18,141.3399232,107389.9335,,98937.94623,206327.8797
19,144.6769838,107389.9335,,101273.8887,208663.8221
20,150.0051779,162520.8383,,105003.6245,267524.4628
21,151.1640943,162520.8383,,105814.866,268335.7043
22,150.6116406,162520.8383,,105428.1484,267948.9868
23,139.8882433,162520.8383,,97921.77033,260442.6086
24,158.0227638,162520.8383,,110615.9347,273136.773
25,159.4728981,169143.0617,TRUE,0,169143.0617
26,158.5049904,169143.0617,,0,169143.0617
27,162.2015706,169143.0617,,0,169143.0617
28,158.6354585,169143.0617,,0,169143.0617
29,153.9521083,169143.0617,,0,169143.0617
30,155.8116464,169919.7322,,0,169919.7322
31,157.4359924,169919.7322,,0,169919.7322
32,157.8604101,169919.7322,,0,169919.7322
33,155.0056541,169919.7322,,0,169919.7322
34,152.9417742,169919.7322,,0,169919.7322
35,151.2936416,153391.1094,,0,153391.1094
36,145.7149004,153391.1094,,0,153391.1094
37,152.1513675,153391.1094,,0,153391.1094
38,154.7232296,153391.1094,,0,153391.1094
39,152.9225913,153391.1094,,0,153391.1094
40,151.7231627,182175.4045,,0,182175.4045
41,152.6102489,182175.4045,,0,182175.4045
42,148.8334739,182175.4045,,0,182175.4045
43,146.1880029,182175.4045,,0,182175.4045
44,139.2622863,182175.4045,,0,182175.4045
45,137.3248275,117180.0868,FALSE,82394.89648,199574.9833
46,141.1166437,117180.0868,,84669.98623,201850.073
47,147.2528066,117180.0868,,88351.68394,205531.7707
48,145.6975875,117180.0868,,87418.55251,204598.6393
49,141.9775614,117180.0868,,85186.53686,202366.6237
50,148.5080681,95239.36332,TRUE,74254.03406,169493.3974
51,153.807496,95239.36332,,76903.74798,172143.1113
52,156.5851776,95239.36332,,78292.5888,173531.9521
53,160.8472851,95239.36332,,80423.64253,175663.0058
54,161.200324,95239.36332,,80600.16199,175839.5253
55,164.4267514,194820.0229,TRUE,0,194820.0229
56,163.4985967,194820.0229,,0,194820.0229
57,163.2054474,194820.0229,,0,194820.0229
58,165.0814417,194820.0229,,0,194820.0229
59,168.638204,194820.0229,,0,194820.0229
60,168.9606258,212799.7096,,0,212799.7096
61,165.7275113,212799.7096,,0,212799.7096
62,163.2097052,212799.7096,,0,212799.7096
63,163.9655822,212799.7096,,0,212799.7096
64,168.4621824,212799.7096,,0,212799.7096
65,163.851557,211860.7054,,0,211860.7054
66,158.4917445,211860.7054,,0,211860.7054
67,158.9035352,211860.7054,,0,211860.7054
68,155.3074827,211860.7054,,0,211860.7054
69,151.6468165,211860.7054,,0,211860.7054
70,151.8536836,121871.8692,,0,121871.8692
71,156.175532,121871.8692,,0,121871.8692
72,152.0627565,121871.8692,,0,121871.8692
73,152.7056698,121871.8692,,0,121871.8692
74,159.0416845,121871.8692,,0,121871.8692
75,154.0179271,198692.2246,,0,198692.2246
76,148.3937478,198692.2246,,0,198692.2246
77,146.0646316,198692.2246,,0,198692.2246
78,147.3154024,198692.2246,,0,198692.2246
79,140.6646366,198692.2246,,0,198692.2246
80,138.9232775,110861.1186,FALSE,97246.29422,208107.4128
81,146.1707163,110861.1186,,102319.5014,213180.62
82,125.5026442,110861.1186,,87851.85096,198712.9695
83,125.2785561,110861.1186,,87694.98928,198556.1078
84,126.8345203,110861.1186,,88784.16423,199645.2828
85,126.4366637,104683.3428,FALSE,151723.9965,256407.3392
86,117.363194,104683.3428,,140835.8328,245519.1756
87,115.1137127,104683.3428,,138136.4552,242819.7979
88,109.8844398,104683.3428,,131861.3278,236544.6706
89,107.8455758,104683.3428,,129414.691,234098.0337
90,104.7685252,49644.69619,,125722.2302,175366.9264
91,105.2455807,49644.69619,,126294.6969,175939.393
92,111.5084569,49644.69619,,133810.1483,183454.8445
93,110.2461107,49644.69619,,132295.3328,181940.029
94,115.0013546,49644.69619,,138001.6255,187646.3217
95,108.349954,72179.51583,,130019.9448,202199.4606
96,107.0444897,72179.51583,,128453.3876,200632.9035
97,107.7886317,72179.51583,,129346.358,201525.8738
98,106.30133,72179.51583,,127561.5959,199741.1118
99,103.1398565,72179.51583,,123767.8278,195947.3436
100,106.0332259,73030.64182,,127239.871,200270.5128
101,110.3478198,73030.64182,,132417.3838,205448.0256
102,114.2116755,73030.64182,,137054.0106,210084.6524
103,119.6649403,73030.64182,,143597.9283,216628.5702
104,121.5680368,73030.64182,,145881.6441,218912.2859
105,125.2213672,162670.618,TRUE,50088.54688,212759.1649
106,122.8815144,162670.618,,49152.60576,211823.2238
107,124.9314203,162670.618,,49972.56812,212643.1861
108,123.999609,162670.618,,49599.8436,212270.4616
109,121.5656231,162670.618,,48626.24925,211296.8673
110,117.2088057,174308.0617,,46883.52226,221191.5839
111,110.2329489,174308.0617,,44093.17957,218401.2412
112,103.6341945,174308.0617,,41453.67779,215761.7395
113,101.2357899,174308.0617,,40494.31594,214802.3776
114,105.4063577,174308.0617,,42162.54307,216470.6048
115,101.955589,139629.2892,,40782.2356,180411.5248
116,104.8677682,139629.2892,,41947.10729,181576.3965
117,108.9621384,139629.2892,,43584.85536,183214.1446
118,108.5320501,139629.2892,,43412.82002,183042.1092
119,112.0821367,139629.2892,,44832.85468,184462.1439
120,116.8144171,145987.4483,,46725.76682,192713.2152
121,113.3880697,145987.4483,,45355.22786,191342.6762
122,107.8691699,145987.4483,,43147.66796,189135.1163
