Date,Close,balance,trade,stock_value,whole_value
0,144.9462077,11569.93005,TRUE,188430.07,200000
1,145.7157442,11569.93005,,189430.4674,201000.3975
2,144.9377238,11569.93005,,188419.0409,199988.971
3,138.372098,11569.93005,,179883.7274,191453.6574
4,138.2191706,11569.93005,,179684.9217,191254.8518
5,138.0536244,196887.0422,TRUE,0,196887.0422
6,138.8865491,196887.0422,,0,196887.0422
7,141.4275701,196887.0422,,0,196887.0422
8,141.8113692,196887.0422,,0,196887.0422
9,139.5695194,196887.0422,,0,196887.0422
10,139.7514344,199157.9853,,0,199157.9853
11,136.8872113,199157.9853,,0,199157.9853
12,135.7519564,199157.9853,,0,199157.9853
13,134.7824161,199157.9853,,0,199157.9853
14,130.5137096,199157.9853,,0,199157.9853
15,131.5629064,111383.4485,FALSE,78937.74384,190321.1923
16,127.6194453,111383.4485,,76571.66718,187955.1157
17,129.8089226,111383.4485,,77885.35358,189268.8021
18,130.4167374,111383.4485,,78250.04244,189633.4909
19,133.1257542,111383.4485,,79875.45252,191258.901
20,136.7110795,182867.9154,TRUE,0,182867.9154
21,137.343457,182867.9154,,0,182867.9154
22,147.7490086,182867.9154,,0,182867.9154
23,142.1115241,182867.9154,,0,182867.9154
24,141.8875705,182867.9154,,0,182867.9154
25,139.9468167,216664.4332,,0,216664.4332
26,137.8328267,216664.4332,,0,216664.4332
27,142.9992813,216664.4332,,0,216664.4332
28,138.8940432,216664.4332,,0,216664.4332
29,135.0847637,216664.4332,,0,216664.4332
30,135.9564569,206985.4323,,0,206985.4323
31,136.7375057,206985.4323,,0,206985.4323
32,138.094475,206985.4323,,0,206985.4323
33,133.536184,206985.4323,,0,206985.4323
34,130.7068396,206985.4323,,0,206985.4323
35,130.1946767,175464.0459,FALSE,39058.40302,214522.4489
36,127.9062926,175464.0459,,38371.88777,213835.9336
37,133.7812553,175464.0459,,40134.3766,215598.4225
38,135.1839774,175464.0459,,40555.19323,216019.2391
39,134.891295,175464.0459,,40467.38851,215931.4344
40,134.8233123,199403.7785,TRUE,0,199403.7785
41,134.300417,199403.7785,,0,199403.7785
42,134.4878681,199403.7785,,0,199403.7785
43,132.4744352,199403.7785,,0,199403.7785
44,127.2743663,199403.7785,,0,199403.7785
45,127.7968798,131821.2037,FALSE,63898.43988,195719.6436
46,134.567451,131821.2037,,67283.72552,199104.9292
47,133.1029768,131821.2037,,66551.48838,198372.6921
48,131.1734494,131821.2037,,65586.72469,197407.9284
49,127.5041241,131821.2037,,63752.06206,195573.2658
50,129.0460483,116681.159,,64523.02413,181204.1831
51,134.3517177,116681.159,,67175.85886,183857.0178
52,134.8745341,116681.159,,67437.26707,184118.426
53,137.3342263,116681.159,,68667.11317,185348.2721
